"region","scenario","version","type","unit","run__id","variable","model","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Europe (R10)","ENGAGE-INDCi2030-1000",1,"ANNUAL","Mt CO2/yr",145,"Emissions|CO2","IMAGE 3.0",4326.995590603324,,,,,3854.123126062452,3274.0008853074023,2375.000445263923,1527.9751982488517,678.4846734027957,266.68936715961024,,-289.43934633978927,,-633.7064784943975,,-395.79184217872194,,-545.5396214027439,,-462.31752399832766
"Europe (R10)","ENGAGE-INDCi2030-1000f",1,"ANNUAL","Mt CO2/yr",146,"Emissions|CO2","IMAGE 3.0",4327.099012132468,,,,,3882.494669949308,3323.295440975946,2749.591209661584,2096.372802924954,1316.191174308903,618.7729251152527,,-289.5394319161736,,-1142.0596295441312,,-1218.7020949239788,,-1285.323162831488,,-1076.737241445516
"Europe (R10)","ENGAGE-INDCi2030-1200",1,"ANNUAL","Mt CO2/yr",147,"Emissions|CO2","IMAGE 3.0",4327.096466457825,,,,,3854.7369133956777,3277.141156812408,2591.261800365777,1903.372423980814,1090.4166820245844,536.5917813471006,,-15.10189310846927,,-428.5976575605292,,-412.1668873207949,,-530.8272165145249,,-421.9009107337485
"Europe (R10)","ENGAGE-INDCi2030-1200f",1,"ANNUAL","Mt CO2/yr",148,"Emissions|CO2","IMAGE 3.0",4326.412155544677,,,,,3881.9866260242943,3320.177716874914,2895.8098096301173,2362.4181266389187,1758.71621084307,1102.4482677190376,,281.37842212691857,,-313.092300443502,,-437.6411877076322,,-712.6190564485522,,-790.4479777736817
"Europe (R10)","ENGAGE-INDCi2030-1400",1,"ANNUAL","Mt CO2/yr",149,"Emissions|CO2","IMAGE 3.0",4326.995590603324,,,,,3856.198242538063,3279.9330625336897,2690.571785217742,2089.45396696648,1459.4374263818622,1099.5319316592022,,617.7123281722547,,-17.3851730143934,,-420.70828314473226,,-591.6011423012999,,-395.53872938573016
"Europe (R10)","ENGAGE-INDCi2030-1400f",1,"ANNUAL","Mt CO2/yr",150,"Emissions|CO2","IMAGE 3.0",4326.412155544677,,,,,3881.9866260242943,3320.177716874914,2892.051778420466,2365.926457938066,1822.432460950588,1334.0845465283442,,849.8582262176,,385.1538140329184,,-271.05147682110913,,-870.2938147382363,,-861.1412043559599
"Europe (R10)","ENGAGE-INDCi2030-3000",1,"ANNUAL","Mt CO2/yr",151,"Emissions|CO2","IMAGE 3.0",4326.412155544677,,,,,3881.9866260242943,3320.177716874914,3101.6421791353205,2895.1354576199647,3001.0232139772475,3298.348948460657,,3708.766250947512,,3792.4915317168425,,3035.496879853591,,1860.7855986061536,,1736.2298051505147
"Europe (R10)","ENGAGE-INDCi2030-3000f",1,"ANNUAL","Mt CO2/yr",152,"Emissions|CO2","IMAGE 3.0",4326.412155544677,,,,,3881.9866260242943,3320.177716874914,3101.6421791353205,2895.1354576199647,3001.0232139772475,3298.348948460657,,3708.766250947512,,3792.4915317168425,,3035.496879853591,,1860.7855986061536,,1736.2298051505147
"Europe (R10)","ENGAGE-INDCi2030-800f",1,"ANNUAL","Mt CO2/yr",153,"Emissions|CO2","IMAGE 3.0",4327.262215054032,,,,,3883.333763475589,3328.3899793471774,2429.737541419616,1578.938247824204,671.853752197308,229.4868919263292,,-416.3164383948823,,-1030.672495617786,,-931.6970449340954,,-1089.557182013698,,-848.481163102037
"Europe (R10)","ENGAGE-INDCi2100",1,"ANNUAL","Mt CO2/yr",154,"Emissions|CO2","IMAGE 3.0",4326.101331468314,,,,,3881.484652554197,3320.859985653459,3059.408681511852,2761.5342562324936,2802.832987722251,3053.4511594369287,,3493.082176526049,,3778.4483874894913,,3745.369709355381,,3357.735170351737,,3370.175899811995
"Europe (R10)","ENGAGE-NPi2020-1000",1,"ANNUAL","Mt CO2/yr",155,"Emissions|CO2","IMAGE 3.0",4327.321968472006,,,,,3919.949432729406,3246.801023142657,2479.12802146561,1441.7972578723648,674.8942843097061,347.7445551870493,,38.846061392182975,,-265.08717793649305,,-191.95681669072945,,-527.1545947872012,,-444.4896364616118
"Europe (R10)","ENGAGE-NPi2020-1200",1,"ANNUAL","Mt CO2/yr",157,"Emissions|CO2","IMAGE 3.0",4327.217120246085,,,,,4033.349419006805,3158.835543601783,2693.131726827676,1852.5947750504165,1122.1242521034558,814.5772178118862,,321.16885887522585,,-265.534587248464,,-321.97891492591793,,-529.237400738827,,-288.5731071098724
"Europe (R10)","ENGAGE-NPi2020-1400",1,"ANNUAL","Mt CO2/yr",159,"Emissions|CO2","IMAGE 3.0",4327.305827216308,,,,,4033.2661390792255,3226.6878156416424,2860.168965917567,2204.956568600516,1605.3804920384405,1274.604900475981,,835.3080311580904,,101.13128217980736,,-222.5588995817967,,-604.9359245850235,,-488.4424260901395
"Europe (R10)","ENGAGE-NPi2020-1400f",1,"ANNUAL","Mt CO2/yr",160,"Emissions|CO2","IMAGE 3.0",4326.680989976668,,,,,3929.831433971353,3229.907282805021,2774.863688403302,2184.363431493338,1639.728126039162,1479.1536065492637,,1186.0703297739624,,524.5070546944924,,-124.80799839041777,,-713.9367403043645,,-708.4873006193193
"Europe (R10)","ENGAGE-NPi2020-3000",1,"ANNUAL","Mt CO2/yr",161,"Emissions|CO2","IMAGE 3.0",4276.737567018839,,,,,4034.92759741271,3461.60051758764,3290.009709975199,3012.320330575768,3139.286664612376,3452.385594999725,,3827.477213889618,,3742.365016005905,,2896.109919493426,,1666.5419906700736,,1568.9578080014176
"Europe (R10)","ENGAGE-NPi2020-3000f",1,"ANNUAL","Mt CO2/yr",162,"Emissions|CO2","IMAGE 3.0",4276.737567018839,,,,,4034.92759741271,3461.60051758764,3290.009709975199,3012.320330575768,3139.286664612376,3452.385594999725,,3827.477213889618,,3742.365016005905,,2896.109919493426,,1666.5419906700736,,1568.9578080014176
"Europe (R10)","ENGAGE-NPi2100",1,"ANNUAL","Mt CO2/yr",166,"Emissions|CO2","IMAGE 3.0",4327.501872138201,,,,,4161.067090730655,3692.093201019238,3593.753565797082,3402.04927093916,3633.727986983985,4035.793630331083,,4749.1287032312175,,5300.806330844847,,5632.683080549497,,5665.794754543393,,5885.315552292841
"Europe (R10)","ENGAGE-NPi2100",1,"ANNUAL","Mt CO2/yr",329,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1",3757.402605552676,,,,,4119.591863640497,4343.029686121814,4438.451325884711,4348.457765875123,4497.189420048202,4748.582793034692,4805.409636582674,4855.409949996011,,4702.833332875783,,5136.436848744432,,5741.921724222431,,6432.119095040619
"Europe (R10)","ENGAGE-NoPolicy",1,"ANNUAL","Mt CO2/yr",331,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1",4194.592384148989,,,,,4253.497126335986,4450.978607190823,4508.052200110029,4413.544641527589,4533.774010812635,4714.265899890011,4794.106896560913,4938.202367702017,,4798.552858891914,,5224.5321376001575,,5766.220004073734,,6415.473420097451
