"region","model","run__id","type","version","unit","scenario","variable","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"World","POLES-JRC ENGAGE",354,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-300f","Emissions|CO2",40910.21875,42078.734375,38511.79296875,19310.041015625,12195.3232421875,9477.26171875,7282.99853515625,,302.2891845703125,,-7297.494140625,,-12999.2255859375,,-19486.84765625,,-22423.95703125
"World","POLES-JRC ENGAGE",355,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-400f","Emissions|CO2",40910.21875,42078.734375,38511.79296875,19966.37109375,12675.3173828125,9838.1142578125,7569.0791015625,,1049.06982421875,,-5944.607421875,,-11383.4501953125,,-17003.58203125,,-19116.734375
"World","GCAM 6.0 NGFS",664,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",38721.7038922231,36533.3760334352,27316.5546888018,20053.0585406674,12728.9089582596,5462.25606167157,-1803.94870333075,-4517.12520909065,-5400.44418672987,-5676.16708229368,-5862.37419577413,-6021.77744617594,-6144.96402107832,-6282.01657936019,-6408.39657022092,-6508.41380724449,-6594.1264791299
"World","GCAM 6.0 NGFS",666,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",38705.3516775572,36659.523239065,27558.948903111,20402.3937377936,13218.3918418555,6103.12700076728,-904.750985791544,-3690.01022846326,-4697.34759998683,-4967.85591218056,-5214.35632462294,-5429.51637754124,-5606.21525707396,-5804.29614584985,-5996.50957488184,-6118.96751493283,-6232.91521991405
"World","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",671,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",44751.08876115071,41555.34680179472,30342.32802104017,21548.82471553913,14402.15561378093,9111.36565619603,5188.381488868259,2227.05431397362,-16.38462779636461,,-2688.261801040696,,-2518.277655126344,,-2482.94338421152,,-2432.847677185567
"World","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",673,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",44751.08876115071,41555.34680179472,29291.1258939694,20409.12999443971,13978.73180748634,9354.653512463026,5574.092511627743,1848.216936185549,117.7823969194105,,-2490.620771492354,,-2880.332493754727,,-2409.849821336691,,-2384.68502677507
"World","REMIND-MAgPIE 3.3-4.8",678,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Low Demand","Emissions|CO2",44336.01437690001,40929.894997,24077.473664,13512.5572638,6576.2688468,2189.3856586,-387.2805134999999,-1766.8712312,-2988.3071873,,-4011.871575600001,,-4407.265640400001,,-4537.6476492,,-4634.9628008
"World","REMIND-MAgPIE 3.3-4.8",680,"ANNUAL",1,"Mt CO2/yr","NGFS Phase 5-Net-Zero 2050","Emissions|CO2",44336.01437690001,41557.9345671,26369.1721936,14014.8928542,5534.328641700001,757.8485987999999,-1802.1633444,-2631.4740277,-3222.5121157,,-3878.1876462,,-3896.1818988,,-3805.533718500001,,-3932.2541531
"World","POLES GECO2019",889,"ANNUAL",1,"Mt CO2/yr","COMMIT-Bridge","Emissions|CO2",40590.375,41141.44921875,37967.96875,25345.103515625,18837.40625,15286.771484375,13504.2060546875,,-267.4788513183594,,-16171.6240234375,,-13292.1484375,,-10958.486328125,,-11174.91796875
"World","GCAM 4.2",995,"ANNUAL",1,"Mt CO2/yr","SSP1-19","Emissions|CO2",37684.3597285529,28496.246155236004,19308.1325819191,14944.00994615885,10579.8873103986,6921.295855649875,3262.70440090115,,-633.599659041818,,-4335.44143574203,,-8420.98307508898,,-12963.8287969501,,-17674.1664086323
"World","IMAGE 3.2",1055,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Default","Emissions|CO2",39951.2301468611,40500.31348024435,32185.92122688433,21656.89095248964,11307.84602967382,5580.355143736471,914.3148550228982,-2315.60518412978,-4720.737996848428,-6330.954753179708,-8291.414714295432,-8881.84383218765,-10670.487875319,-11810.91251734976,-12705.68213006131,-13240.23038857345,-13825.76464969439
