"region","scenario","version","type","unit","run__id","variable","model","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"World","ENGAGE-INDCi2030-1000f",1,"ANNUAL","Mt CO2/yr",146,"Emissions|CO2","IMAGE 3.0",42090.03190486803,40969.86523809953,39550.97624057471,34193.44629217099,27656.72135668091,21105.857912074964,11976.814861114844,,8054.475179768683,,-1966.292521337608,,-5504.829061372835,,-6305.504273034165,,-6618.4031581537565
"World","ENGAGE-INDCi2030-800f",1,"ANNUAL","Mt CO2/yr",153,"Emissions|CO2","IMAGE 3.0",42088.932621013766,40918.46029017819,39535.21029005244,28543.01269790732,20161.589194541204,10835.795818042365,7583.9790045957025,,2590.808390535007,,-3618.321004560709,,-5090.52124069715,,-5641.976807153532,,-6272.328369710836
"World","ENGAGE-NPi2020-1000",1,"ANNUAL","Mt CO2/yr",155,"Emissions|CO2","IMAGE 3.0",42072.90885799148,40836.948571420784,36432.626630916224,27102.04850506799,18250.426922232047,10689.514079747816,8999.44482503688,,6724.831828410827,,3784.799398130531,,1295.2243755246486,,25.24131520818659,,-308.7657445552506
"World","ENGAGE-INDCi2030-500f",1,"ANNUAL","Mt CO2/yr",356,"Emissions|CO2","POLES-JRC ENGAGE",40910.21875,42078.734375,38511.79296875,21174.40234375,13715.16015625,10786.08203125,8307.59375,,2213.845947265625,,-3934.245361328125,,-9821.54296875,,-14876.1123046875,,-16647.75
"World","ENGAGE-INDCi2030-600f",1,"ANNUAL","Mt CO2/yr",357,"Emissions|CO2","POLES-JRC ENGAGE",40910.21875,42078.734375,38511.79296875,22114.181640625,14385.0634765625,11372.75,8859.9296875,,3004.29931640625,,-2690.54638671875,,-7708.85546875,,-12841.572265625,,-14209.2802734375
"World","ENGAGE-INDCi2030-600f-COV",1,"ANNUAL","Mt CO2/yr",358,"Emissions|CO2","POLES-JRC ENGAGE",37808.53125,39625.15625,36712.90625,21543.580078125,13859.34375,10777.9853515625,8235.3271484375,,2751.598876953125,,-2097.73681640625,,-6344.30859375,,-10244.505859375,,-11105.5166015625
"World","ENGAGE-INDCi2030-600f-COV-NDCp",1,"ANNUAL","Mt CO2/yr",359,"Emissions|CO2","POLES-JRC ENGAGE",37808.54296875,39181.125,34857.1953125,20590.1640625,13502.1318359375,10450.0263671875,7985.34326171875,,2518.69970703125,,-2092.02880859375,,-6113.8232421875,,-9476.2197265625,,-11041.0048828125
"World","ENGAGE-INDCi2030-600f-NDCp",1,"ANNUAL","Mt CO2/yr",360,"Emissions|CO2","POLES-JRC ENGAGE",40587.84375,41347.15625,38389.90625,22208.587890625,14892.271484375,11790.322265625,9103.388671875,,3105.260986328125,,-2357.833740234375,,-7259.29931640625,,-12446.287109375,,-14734.1630859375
"World","ENGAGE-INDCi2030-700f",1,"ANNUAL","Mt CO2/yr",361,"Emissions|CO2","POLES-JRC ENGAGE",40910.21875,42078.734375,38511.79296875,23551.94140625,15504.0009765625,12319.7626953125,9711.5029296875,,3952.43798828125,,-1113.572265625,,-5414.96484375,,-10668.6435546875,,-11690.84375
"World","ENGAGE-INDCi2030-800f",1,"ANNUAL","Mt CO2/yr",362,"Emissions|CO2","POLES-JRC ENGAGE",40910.21875,42078.734375,38511.79296875,24936.431640625,16643.125,13248.3349609375,10630.15234375,,5086.96826171875,,-2.093823909759521,,-4367.11083984375,,-8363.33984375,,-9945.1123046875
"World","ENGAGE-INDCi2030-900",1,"ANNUAL","Mt CO2/yr",363,"Emissions|CO2","POLES-JRC ENGAGE",40910.21875,42078.734375,38511.79296875,18668.81640625,11883.4755859375,9306.51171875,7794.60107421875,,5010.53466796875,,1409.6644287109375,,718.2785034179688,,-46.70131301879883,,-12.040183067321776
"World","NGFS Phase 5-Below 2°C",1,"ANNUAL","Mt CO2/yr",660,"Emissions|CO2","GCAM 6.0 NGFS",38705.3311896455,37212.7648231373,29528.6475966545,24553.1311079213,19551.3601287656,14659.5061895645,9870.16945195336,6177.48642063908,2519.89503634312,-433.955562957667,-2445.62392813325,-4368.58938813157,-4392.4255943883,-4398.28936374553,-4377.92712290487,-4332.39756540438,-4276.53574614679
"World","NGFS Phase 5-Delayed Transition",1,"ANNUAL","Mt CO2/yr",662,"Emissions|CO2","GCAM 6.0 NGFS",38705.3332863643,38516.3577455493,37916.6427480509,30656.745259121,22949.7750966678,15374.0741042442,7987.64317898365,4035.91837776093,334.681272930146,-1290.67044509507,-2718.128780114,-3669.34941507917,-4559.95751690502,-4533.4358086127,-4502.62911674052,-4462.36706533145,-4411.46373019256
"World","NGFS Phase 5-Below 2°C",1,"ANNUAL","Mt CO2/yr",667,"Emissions|CO2","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",44751.08876115071,41555.34680179472,34774.77053648137,28906.75312741041,23107.39027416548,17540.97677119681,12903.98238070846,9215.979229837583,7196.747820987588,,3646.059881364054,,568.5173043553104,,10.36483771534449,,7.385712833872731
"World","NGFS Phase 5-Delayed Transition",1,"ANNUAL","Mt CO2/yr",669,"Emissions|CO2","MESSAGEix-GLOBIOM 2.0-M-R12-NGFS",44751.08876115071,41550.16870265797,41368.49410200681,34345.97152567447,27254.6428278098,20650.03274117358,15126.73549749923,10642.3242367077,7882.102173934411,,4006.485070977891,,788.432924463506,,4.156632080363579,,2.2233828434305
"World","NGFS Phase 5-Below 2°C",1,"ANNUAL","Mt CO2/yr",674,"Emissions|CO2","REMIND-MAgPIE 3.3-4.8",44336.01437690001,43370.72432479999,35652.1306422,27181.2355309,19667.6628796,13978.6508315,10328.8775575,8173.419919,6633.497533299999,,4580.0170065,,3483.0854947,,2637.9056849,,1562.1821946
"World","NGFS Phase 5-Delayed Transition",1,"ANNUAL","Mt CO2/yr",676,"Emissions|CO2","REMIND-MAgPIE 3.3-4.8",44336.01437690001,43042.2421411,43221.4456673,35161.0114491,21178.4330336,11148.708047,7057.957855299998,4873.6351338,3639.074957,,2194.5364532,,1681.5409362,,1489.5810583,,1219.8601615
"World","NAVIGATE Demand-1.5°C-tec_u",1,"ANNUAL","Mt CO2/yr",697,"Emissions|CO2","IMAGE 3.3",39603.19043328779,41394.65071990898,26681.06754799847,19515.43408380538,12003.07503364327,6008.152466366508,1276.169413364713,,-1961.633992691351,,-3561.743245766503,,-4341.040161527452,,-4863.576864048914,,-5223.96606492803
"World","NAVIGATE Demand-2.0°C-ele_u",1,"ANNUAL","Mt CO2/yr",699,"Emissions|CO2","IMAGE 3.3",39594.68262078702,43070.17057683213,33343.28450823954,27403.9075545746,21289.0032571437,16969.63411612603,13117.70141720814,,8291.785319764214,,5662.297445176212,,4412.4264733829,,2554.960368070811,,1850.249817062736
"World","NAVIGATE Demand-2.0°C-act_u",1,"ANNUAL","Mt CO2/yr",746,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1-BMT-R12",45345.40505087384,45500.27699573263,35692.30097412529,29928.28078546643,25240.54404137457,20695.50578169637,16578.46261094606,13635.73726619108,11700.77831249139,,6965.162364501784,,4439.713585939613,,3069.263219385995,,2580.940089798026
"World","NAVIGATE Demand-2.0°C-ele_u",1,"ANNUAL","Mt CO2/yr",747,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1-BMT-R12",45306.47364820011,45614.67939458253,35921.81045334549,30393.4794173306,25804.18682531328,21215.01846307311,16821.3631191092,13593.67070534434,11627.93767165033,,6803.785289318628,,4092.834158411048,,2851.308602784387,,2343.216779086573
"World","NAVIGATE Demand-2.0°C-ref",1,"ANNUAL","Mt CO2/yr",748,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1-BMT-R12",45392.79352931953,45623.52018780698,35769.21020626712,30005.91319317595,25259.23125303898,20716.01579966543,16548.22983987408,13632.61821626284,11636.53727484549,,6844.821820344971,,4473.534474347682,,3114.325766005592,,2647.398741613578
"World","NAVIGATE Demand-2.0°C-tec_u",1,"ANNUAL","Mt CO2/yr",749,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1-BMT-R12",45368.95763445146,45391.52412681182,35790.93524024107,30143.34751587318,25664.42132711141,21138.50916761854,16785.28004284747,13564.47291725688,11598.68245646079,,6831.736958280417,,4071.075619902588,,2779.451208573356,,2265.114059120045
"World","NAVIGATE Demand-2.0°C-ref",1,"ANNUAL","Mt CO2/yr",755,"Emissions|CO2","IMAGE 3.3",39595.08724318288,42495.30957417571,32421.3720732599,27872.27230071093,21358.21517121249,16358.23535304961,13314.22794717393,,8994.685140791657,,6158.023885650966,,4706.258423279404,,2834.203979749842,,1855.122518072293
"World","NAVIGATE Demand-2.0°C-tec_u",1,"ANNUAL","Mt CO2/yr",756,"Emissions|CO2","IMAGE 3.3",39603.19043328779,42858.6031940004,33050.42025040041,27682.90364834996,21202.89209177129,15808.74202617674,13215.29329547222,,9277.821452666354,,6457.410889258912,,4350.305745838191,,2490.518880434744,,1579.809763734114
"World","NAVIGATE Demand-1.5°C-ele_u",1,"ANNUAL","Mt CO2/yr",765,"Emissions|CO2","IMAGE 3.3",39594.68262078702,41677.78971733055,27333.9365259224,18283.13688317252,11059.38191832311,6006.271240780399,2234.083842162734,,-1203.198740750658,,-3506.976664544076,,-3915.556437530439,,-4752.187093530975,,-4735.653971784681
"World","NAVIGATE Demand-2.0°C-all_u",1,"ANNUAL","Mt CO2/yr",768,"Emissions|CO2","MESSAGEix-GLOBIOM 1.1-BMT-R12",45272.35435932704,45301.05218855449,35685.987270802,30501.05399727656,25916.73492139093,21271.34074951367,16761.79417182036,13474.89614895554,11702.48587414689,,6819.557015306726,,3870.012694135797,,2560.793952579847,,2075.066231039687
"World","COMMIT-2°C-2030",1,"ANNUAL","Mt CO2/yr",880,"Emissions|CO2","IMAGE 3.0",41734.21842827318,40789.8333370415,39229.19043325379,28271.40006767429,20615.75993025957,14228.64323046018,10858.5728362736,,2001.41253680304,,-210.692901630482,,-1987.8187461117,,-3236.959696746092,,-4161.959839245547
"World","COMMIT-2°C-2020",1,"ANNUAL","Mt CO2/yr",886,"Emissions|CO2","POLES GECO2019",41066.1171875,40912.85546875,32317.693359375,24704.638671875,19288.869140625,14593.896484375,10332.4248046875,,3681.4892578125,,-1364.85400390625,,-5092.990234375,,-8870.255859375,,-11400.5693359375
"World","COMMIT-2°C-2030",1,"ANNUAL","Mt CO2/yr",887,"Emissions|CO2","POLES GECO2019",40661.62890625,41968.23828125,39945.51953125,26225.9765625,17904.12890625,13661.3115234375,10254.5185546875,,3671.872802734375,,-2051.524169921875,,-6449.744140625,,-10553.228515625,,-12652.74609375
"World","COMMIT-Bridge-No-Tax",1,"ANNUAL","Mt CO2/yr",890,"Emissions|CO2","POLES GECO2019",40604.640625,44208,45634.82421875,25163.970703125,16138.4365234375,12864.701171875,10451.7470703125,,3697.97802734375,,-2221.696533203125,,-6892.44775390625,,-10156.74609375,,-10259.9443359375
"World","EMF33-medium-2°C-limbio",1,"ANNUAL","Mt CO2/yr",964,"Emissions|CO2","REMIND-MAgPIE 1.7-3.0",42539.0523,39257.80089999999,33353.70080000001,28277.7888,24353.4714,21312.9675,17631.919,13739.9707,10432.2154,,6958.587800000001,,4363.880399999999,,1937.0322,,-108.6524
"World","EMF33-tax-hi-full",1,"ANNUAL","Mt CO2/yr",968,"Emissions|CO2","REMIND-MAgPIE 1.7-3.0",44323.9069,41838.9243,35842.59730000001,30038.9971,25289.7804,21452.3832,16849.6832,11345.4504,6414.9787,,-1489.5902,,-7530.467199999999,,-12084.8327,,-14653.6838
"World","SSP1-26",1,"ANNUAL","Mt CO2/yr",996,"Emissions|CO2","GCAM 4.2",35526.5607694671,31776.74214214205,28026.923514817,25799.99325803275,23573.0630012485,20669.916099838803,17766.7691984291,,11324.009272616,,4920.97540974346,,-555.589048222232,,-5880.160664959,,-10963.8715668159
"World","SSP2021-SSP1-SPA1-26-Default",1,"ANNUAL","Mt CO2/yr",1062,"Emissions|CO2","IMAGE 3.2",39951.2301468611,40733.36523807803,36663.47982104138,30562.59049757008,22822.73340051229,17128.02946119251,12781.03588983379,9673.370280827314,6990.877767562617,4935.773315878394,1317.245636106078,-1913.657592947406,-5504.748494966578,-6330.730957606771,-7608.17936267082,-7872.083578189602,-8475.771241004899
"World","SSP2021-SSP1-SPA1-26-Lifestyle",1,"ANNUAL","Mt CO2/yr",1063,"Emissions|CO2","IMAGE 3.2",39708.57129267237,39600.62305047506,35370.29590165298,27108.19124595396,20305.32861512719,15093.46630996588,11403.49804791168,8402.221273550296,7517.271810579221,6329.810710210853,4399.347412509315,2202.844889523175,600.5475871314181,-770.0095113818498,-1794.61848974648,-2487.18790712715,-2750.127339931001
