"region","model","run__id","type","version","unit","scenario","variable","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"World","IMAGE 3.0",145,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1000","Emissions|CO2",42090.325524659725,,,,,40908.85319382315,39412.412763999615,28016.786949161564,19574.958335112875,10919.80957130521,7675.950033249896,,3313.6125898194664,,311.0511169716368,,362.6074066491752,,77.51212120760808,,-16.406147481502455
"World","IMAGE 3.0",147,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1200","Emissions|CO2",42089.96029028469,,,,,40893.234053196735,39414.0634801456,31785.27344038957,25749.40836822627,17081.9257828029,11132.201417027643,,11226.0424814893,,4387.467448315527,,1195.2104696724575,,-130.73214214241858,,-122.59643174332288
"World","IMAGE 3.0",148,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1200f","Emissions|CO2",42088.051761638686,,,,,40939.72624070096,39504.51986036216,36131.18294599299,30929.74772416596,25031.02099836929,15729.471843877867,,12459.842693190005,,2246.251607463319,,-2005.6266074414443,,-5027.861613412807,,-6403.162394787834
"World","IMAGE 3.0",149,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1400","Emissions|CO2",42090.325524659725,,,,,40913.10710007354,39433.31348014734,33643.06673482929,27622.6059595424,22955.317059378514,17534.202312791935,,13917.35074996313,,9306.916667512747,,3896.4639896120366,,1129.923706157408,,159.8962580508316
"World","IMAGE 3.0",150,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1400f","Emissions|CO2",42088.051761638686,,,,,40939.72624070096,39504.51986036216,36069.85221682074,30930.753909061885,25741.724123433905,18998.668621518817,,18446.131674854005,,8690.351807430658,,1639.0484518905407,,-3551.522278154897,,-5665.901896673936
"World","IMAGE 3.0",151,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-3000","Emissions|CO2",42088.051761638686,,,,,40939.72624070096,39504.51986036216,38679.007816016274,39812.043623410944,40984.31348028834,42249.1666705075,,43173.57129298737,,40521.21419639208,,31402.611656500616,,22917.271811979223,,21854.432619174266
"World","IMAGE 3.0",152,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-3000f","Emissions|CO2",42088.051761638686,,,,,40939.72624070096,39504.51986036216,38679.007816016274,39812.043623410944,40984.31348028834,42249.1666705075,,43173.57129298737,,40521.21419639208,,31402.611656500616,,22917.271811979223,,21854.432619174266
"World","IMAGE 3.0",154,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2100","Emissions|CO2",42090.436527263904,,,,,40962.01986049465,39465.80143587947,38189.43262065927,38344.75390973588,39271.35709992429,40701.39290734596,,42903.07943098361,,45062.59928795077,,45408.65885829472,,46259.14290785121,,48440.92057732039
"World","IMAGE 3.0",157,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1200","Emissions|CO2",42097.69824601456,,,,,41747.8968136911,36098.644860052525,29548.28450789454,23326.66194873519,15346.487794363884,13317.303793528372,,11969.613119577729,,5146.636190246521,,1646.5262452668717,,-13.042003473831716,,130.43366878423717
"World","IMAGE 3.0",159,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1400","Emissions|CO2",42106.13086320283,,,,,41895.77376682954,37195.40071952724,32286.528974289304,27007.00879151768,21749.698081404327,17717.105958641896,,13289.063477770596,,8797.304606919546,,4890.746541785759,,177.6678505105364,,-153.4539667904803
"World","IMAGE 3.0",160,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1400f","Emissions|CO2",42064.55143611572,,,,,40904.416670385246,36648.10775072748,31501.89095338464,26835.926923012543,21764.783693384867,18692.915529043104,,18217.67578290616,,9630.18847743797,,4113.226115282784,,-1467.3772177440749,,-3682.605611500147
"World","IMAGE 3.0",161,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-3000","Emissions|CO2",41458.78157928981,,,,,42251.51204811188,40998.32129278962,40538.301435976966,40658.75000369625,41582.19857148853,42892.301436190966,,43570.34114979427,,39767.56738642773,,29592.442059981888,,20372.83968284166,,20153.711590373823
"World","IMAGE 3.0",162,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-3000f","Emissions|CO2",41458.78157928981,,,,,42251.51204811188,40998.32129278962,40538.301435976966,40658.75000369625,41582.19857148853,42892.301436190966,,43570.34114979427,,39767.56738642773,,29592.442059981888,,20372.83968284166,,20153.711590373823
"World","IMAGE 3.0",166,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2100","Emissions|CO2",42156.94857154078,,,,,43430.53157946906,42783.58333722275,43139.03157944256,44173.57943109911,46439.50781672177,49258.69824666556,,53561.896814765096,,58226.48405477248,,61566.77800038864,,64190.97982354387,,67082.28971964006
"World","MESSAGEix-GLOBIOM 1.1",329,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2100","Emissions|CO2",43966.41985109601,,,,,45934.40626565904,47176.78924179389,48472.46887339811,48970.83563037938,50680.08157169902,52630.40571643712,54622.85244765275,56675.67717202396,,57834.67613442105,,62027.72642053788,,66478.10014904232,,70628.5473068628
"World","MESSAGEix-GLOBIOM 1.1",331,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NoPolicy","Emissions|CO2",45013.41127708952,,,,,46707.20954659006,48441.58087478526,49793.89473580864,51079.70928905896,53270.34459349921,55842.30513196955,58725.01443486692,61559.33132527598,,64518.50405020615,,69998.34261066944,,78892.19722544611,,87065.17470443528
"World","POLES-JRC ENGAGE",332,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1000","Emissions|CO2",40910.21875,,,,,42078.734375,38511.79296875,22707.703125,14997.0546875,12235.1064453125,10044.63671875,,5445.3017578125,,1891.7789306640625,,1838.3560791015625,,637.4052124023438,,28.868677139282227
"World","POLES-JRC ENGAGE",333,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1000-COV","Emissions|CO2",37808.53125,,,,,39625.15625,36712.90625,24797.53515625,16884.578125,13769.666015625,11467.55859375,,6252.49169921875,,2803.55224609375,,1457.11962890625,,682.0006103515625,,41.64803314208984
"World","POLES-JRC ENGAGE",334,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1000-COV-NDCp","Emissions|CO2",37808.54296875,,,,,39181.125,34857.05859375,23742.123046875,16604.0625,13582.87109375,11301.763671875,,6217.55224609375,,2657.62353515625,,1538.065673828125,,744.8673706054688,,-10.98259735107422
"World","POLES-JRC ENGAGE",335,"ANNUAL",1,"Mt CO2/yr","ENGAGE-INDCi2030-1000-NDCp","Emissions|CO2",40587.84375,,,,,41347.15625,38389.90625,24399.3046875,16892.0234375,13734.6220703125,11387.55078125,,6101.0927734375,,2131.356689453125,,747.415283203125,,146.49546813964844,,46.3911018371582
